tokens,is_negative,is_book,Y,category
ever felt foot killing want throw offending shoe yes woman sure merrell primo chill slide since discovery merrell 's primo chill slide walking driving popping joy 's easy slide lace 's warm inviting interior cosy fit slide sole lovely foot stylish merrell 's n't spoil fashion never would merrell 's made easier,0,0,0,apparel
love jean worn levi 's life happend find fit comfortable much lower price little style detail mean nothing fit fabric everything,0,0,0,apparel
purchased ipod video case scratched screen around outside inside case 've_got ruff edge damage ipod screen 'd_like scratch ipod screen purchase case 'd_like keep screen scratched stay_away case,1,0,0,apparel
thanks shoe came quickly like lot got street shoe size fit fine,0,0,0,apparel
found tie christmas present brother tie `` speaks '' say `` hey 'm cool '' well designed eye cather thank available sherry l. schloss mtn home,0,0,0,apparel
new 36dd ca_n't wear underwire supportive comfortable bra market past 5_year since surgery 've searching perfect bra finally found,0,0,0,apparel
ordered short husband love fabric soft comfortable color great short fall right top knee fit great good buy look price,0,0,0,apparel
sun glass great_deal three pair ray ban aviator sunglass past year ... work play thing dont hold well 'd_like ... needle_say one hundred dollar pair get expensive thought_would try alternative great stylish economical well comfortable light_weight,0,0,0,apparel
sure bad posture year lugging one shoulder handy interior zipper pocket hold credit_card money driver 's license exterior pocket hold cell_phone business card washed go everything pinch serve overnight bag magnet strong complaint interior pouch fabric weak put lot change mend spring leak tie strap n't cinch hey care prada ever quit making die,0,0,0,apparel
looking kind tie tack long_time becasue great help keep tie still able see whole tie,0,0,0,apparel
bought dress daughter 's wedding looked around local market pleased choice figured n't anything lose looking internet well pleasantly_surprised quality fit price n't bad either even option returning n't work something n't bridal shop perfect n't need alteration pressing,0,0,0,apparel
'm_glad purchased lock 3+ year_ago used 5 trip remained intact strong feeling point tsa unlock luggage locked back lock scratch near keyhole additionally since red lock identify luggage quickly baggage claim,0,0,0,apparel
lilyette maximum support bra well made wear well hold frequent washing retains support feature comfortable,0,0,0,apparel
excellent ... .these sock comfortable daughter playing soccer fall started getting cold sock kept foot warm toasty,0,0,0,apparel
sneaker day come two variety -- 're huge athletic clod-hoppers teenieboppers 're white keds orthotic shoe old ladies.this sneaker best compromise market today 's youthful without young light-weight low-profile wide enough thick sock 'll get compliment everywhere go.my first pair black wow stylish today wore shopping back started hurting foot one objection supposedly 'squishy foot bed n't_know shoe missing part found sole hard inflexible still _comfortable_ n't like putting foot pillow anything.if prefer squishier footbed recommend thin insert squish toe 'm_sure would perform well athletics -- 'm_going saving mine errand casual night want every color,0,0,0,apparel
slipper really sharp looking purchased gift male relative 's big cardinal fan watch-out size ordered size large supposed fit size re-order xl heel hanging back,0,0,0,apparel
love calvin klein brand clothes loyal customer quite time ... visibly delighted see ck shirt great price amazon ... selected purchased shipped delivered time.. happy product lovely feel life upto brand name ... definitely go,0,0,0,apparel
never buy stuff like line like play with/feel wallet getting could_n't find thin bi-fold liked took chance.it 's great id feature super handy come way 're wondering brown leather soft nice really nice price way personally n't think 's thick,0,0,0,apparel
really love dress little low-cut realized also flower velvety material white backing show bit neither point turn though likely happy purchase,0,0,0,apparel
stylish comfortable shoe owned long_time love shoe received many compliment ... love,0,0,0,apparel
`` leather '' whatever belt made smell bad strong whole closet ended foul odor finally set outside porch stunk whatever room put way could ever wear totally displeased,1,0,0,apparel
truly comfortable bra 've_ever worn especially like seamless patternless cup n't show knit best price amazon better sale price anywhere,0,0,0,apparel
slack compare favorably pant expensive `` big men '' type clothing store yet quite affordable pleased look durability trouser,0,0,0,apparel
bought hat little boy loved 's inexpensive well made highly_recommend,0,0,0,apparel
bought shoe wear hickey freeman suit wanted try something traditional cap-toe oxford say love style 'd classify dress casual dress formal 'll still probably need find another pair dressier oxford wear suit gray slack perfect,0,0,0,apparel
t-shirt perfect person bought amused memorized movie,0,0,0,apparel
ordered boot amazon xmas time glad bought lucky 50 lot friend plenty compliment wish bought brown also sale price always amazon shipping service top notch bad time offered macy 's regular price,0,0,0,apparel
little hesitant reading_review compnay must made great stride improve shirt exactly described got two day,0,0,0,apparel
hate wearing bra far comfortable bra ever worn,0,0,0,apparel
accept imitation including betula birkenstock nothing compare shoe well_worth price consider investment last_year despite reviewer say consider `` style '' predict remain year come,0,0,0,apparel
excellent shoe excellent company better price exceptional highly_recommend,0,0,0,apparel
product received timely_manner expected,0,0,0,apparel
ninewest certainly know make great shoe high price thank ninewes,0,0,0,apparel
'm mom 3 kid say wish sleeper oldest baby zipper design convenient highly recomend,0,0,0,apparel
love gaucho got mine yesterday fit perfect ca_n't wait wear summer plan buy another sometimes soon,0,0,0,apparel
lovely earmuff fur soft keep ear warm stay head could want,0,0,0,apparel
manufacturer sized shirt much smaller average ordered large usually fit n't squeeze got squeeze get regular fit 'd order two size larger plan fit like one picture -- skin tight -- -if order regular size,1,0,0,apparel
product terrific shipping time super quick third pair glass probably wo_n't last,0,0,0,apparel
extremely comfortable good-looking effective minimizer enabled wear one size smaller also strap never slip shoulder wish found bra year ag,0,0,0,apparel
pleased pair white fast approach bought 'm back buy black pair 'd agree go half size usual sneaker want comfortable fit liked cushion added dr. scholls massaging insole -- holy cow 're washable n't_worry spilling red wine puppy wipe clean water napkin recommend shoe style comfort yesterday felt_like traveling shoe salesman,0,0,0,apparel
's nice drive town looking something find exactly want bargain price super service deal,0,0,0,apparel
husband fell_love shoe could_n't find exact color size store finally found amazon great price snatched immediately shoe nice also comfortable look good almost anything dress look fashionable husband picky shoe comfort must hard_time finding shoe fit style comfort may one,0,0,0,apparel
broke chipped short fingernail trying unlock key suppose go got key holder zipper broke threw away scape nail get key holder,1,0,0,apparel
size listed print invoice instead army navy us 'codes send wrong size blame selecting right size want 15 restocking fee plus return shipping,1,0,0,apparel
wasnt sure spending item first got mail put life saver maternity jean still abel fit regualr jean zip button bella band come work wonder body believe still regualr jean thanks bella band wendy l,0,0,0,apparel
purchased false impression idea silicon skin provide unit shock protection event get dropped skin thin nothing keep little_bit dust buttons.the belt clip made brittle plastic broke second day used it.do n't_waste money spend extra buck get something last,1,0,0,apparel
looked shaper great fit boot perfectly delivered within three day amazing,0,0,0,apparel
never bra feel_comfortable price much le tv shopping show,0,0,0,apparel
boxer perfect coca-cola fan stylish bold soft comfortable durable spouse say_enough nice thing since unwrapping tree,0,0,0,apparel
looking lightweight windbreaker substance typical nylon jacket shell polyester/cotton teflon coating 'london fog feel look elegant nice cotton plaid lining inside give jacket feel wearing coat thin nylon windbreaker feel yet seems light nylon windbreaker rain water roll right due teflon coating front flap neck netting allows coat breathe keep thing comfortable inside neck area zipper flap keep wind rain 's warm outside heavy coat 's machine washable dryer safe like look way feel wearing san_francisco bay_area chilly morning anything cool warm foggy windy afternon coat 'm ready anything,0,0,0,apparel
great sandal bought pair replace pair simmilar sandal 4_year think great footbed comfortable leather strap nice soft bad bought end summer cause dont wan_na take foot,0,0,0,apparel
brief awesome soft comfortable wear always worn boxer trying 'll wear time school one even care tighty whities locker room kid wearing brief everyone_else,0,0,0,apparel
ordered item mid june credit_card billed june 22. however discovered two_week later despite billed credit_card item purchased andrew christian order never sent assured order would completed promptly told needed clothing july 19 otherwise would need item order given ups july 17 expected delivery date july 21. consequently directed ups return order unopened handling entire mess slopppy billing credit_card two_week order even placed unethical shameful,1,0,0,apparel
husband wear size 13 shoe finding sock fit properly impossible heel gold toe sock actually back foot belong instead archway brand land 20 pair sock drawer even long thick one winter gold toe still absolute favorite walk work newbalance shoe gold toe ... never complains comfort even sub-zero temperature give try ... wo_n't disappointed,0,0,0,apparel
bra 've_found prof year 's best bra holding secure 'm walking feel_comfortable confident,0,0,0,apparel
excelente opcion para aquellos que manejan mucho permite una buena ventilación en la espalda el apoyo lumbar e adecuado para largas horas de manejo sin sufrir de fatiga se le colocó un hyundai getz 2007 un geo metro 1994 ambo automoviles se acopló perfectamente.el unico punto en contra e que queda muy claro como se debe sujetarse al asiento viene con instrucciones --_-- excellent option people drive lot per day allows excellent air pas trough back great lumbar support reducing fatigue.i put hyundai getz 2007 geo metro 1994 fit perfect cars.con figure put seat,0,0,0,automotive
tinted window product work,1,0,0,automotive
easy_read compact give ton information ... direction digital compass time temperature ice warner calendar automatically calibrates ... .what want 's great 's handy love,0,0,0,automotive
worked expected easey use saved enough labor pay n't mind getting hand dirty worked even n't work 's really nice know getting honest quote.na,0,0,0,automotive
loved wedge little boy slept outgrew really helped breathe better stuffy nose,0,0,0,baby
little gym kept daughter busy exploring touching feeling hearing new sound would highly reccomend fact bought friens expecting,0,0,0,baby
love gate 2 blocking stair kitchen one comment installation must use measure tape/ruler provide locate gate hinge fastened wall 's top pop earlier review eyeballing way fasten specific height install make gate safe purchasing one top stair well doubt fine provide_good long screw long banister stud 'll fine,0,0,0,baby
complete waste_money nipple flow fast newborn tried using many time return work transition daughter choked cried feeding also swallowed much air-i burping seemed hour bottle expensive storage-you purchase generic breastmilk storage bottle made evenflow 3.99 ... personally like use storage bag laid flat freezer take le space,1,0,0,baby
baby would never take paci n't soothies yeahhhh soothie bottle great switched soothie bottle son confusing nipple bottle paci need keep taking paci thrilled soothie bottle nipple complaint work great sure reviewer gave 4 star ... n't screw bottle tight enough leak ... duh,0,0,0,baby
product better sure want pay 100.00 monitor may better price need work great love choice channel baby sleeping hear static hope hear chocking baby move monitor pick also light indication plus.great monitor would_recommend product,0,0,0,baby
suction pretty weak dont stick well tray also hard_time keeping arch standing arch kept bending forward falling son face able get suction finally stick soon son would touch would bend right suction part would end face added kid reinforcemnt could stand upright time took back next_day bought sassy fascination station instead giant suction bottom serf purpose even hard_time pulling tray,1,0,0,baby
bought seat bridge gap baby seat booster seat 17mos old boy 's 24 lb 32 '' fit fine issue harness system installation 's stylish seat price really care seems comfy easily adjustable cup holder boy like better eddie bauer baby seat cost 3 time much,0,0,0,baby
2_year old loved cup wouldnt drink sippee cup prober glass would alway spill cup bright cant help look item tell who help also bright never lose hope cup last used brother wide top make_feel different reg cup buying oif,0,0,0,baby
started potty train 2_year old little_girl trip disney world came honest n't_know would n't go potty big potty felt_like going take whole week potty_training full week disney world going fun carrying potty seat around found baby r u little blessing little one fit perfect potty go without afraid potty plus fit perfect wendy bellissimo diaper bag carry everywhere n't leave home without thanks wonderful product helped make first_trip disney world much_better,0,0,0,baby
two one boy booster great n't need straped attached chair portable never move chair either comfortable kid absolutely_love,0,0,0,baby
found product searching way make traveling two-year old easier loved riding carseat airport 6 people stopped ask worked security agent said wished parent used instead trying jam enormous stroller x-ray machine,0,0,0,baby
bought whole superyard play yard kit absolutely_loved extra extension buy great set living_room keep son getting near entertainment center leaving living_room found durable sturdy son younger worked great place play got little older became mobile set play yard living_room keep getting close television set bend piece form almost design choose would say child getting close 3_year old buy though 's sturdy probably age also used place put pet used outside 'd_recommend highly,0,0,0,baby
one_favorite gift buy new mom ... 'll get use gift anything think easy_use 's dishwasher safe fit anywhere store anything color bright kid like play think 's also economical enviornmentaly friendly since ziplock baggies expensive 'll end saving lot money using snap apart dish best part hold really well keeping snacks/food fresh ... love,0,0,0,baby
great product fit co-sleeper mattress/pad perfectly loved velcro sheet ensure stayed place mattress pad ensure pad stayed place crib/co-sleeper highly_recommend,0,0,0,baby
image showing spoon set correct image bendable spoon used feed baby 12 month_old description image baby 12 month_old place order send set spoon fork metal end feeding toddler plastic one feeding infant,1,0,0,baby
thing happened person previous_review sent pink pillow instead crib set honor price bedding set send back give refund hassle,1,0,0,baby
mama 's crib toy vibrant rich color soothing yet upbeat music annoying elevator style wonderful addition nursery get extra sleep promise,0,0,0,baby
awesome training pant hold one accident really well trimmest training pant 've_found look_like real underwear great child need protection occasional accident absorbent diaper used child well potty_training,0,0,0,baby
purchased two gate could_n't happier two italian greyhound one 13 week old puppy always scary going front door returning wondering would bolt gate entry way go gate close behind go front door without worrying get loose gate used kitchen put dog busy something ca_n't keep eye them.these gate arrived within two day order shipping free amazon could found better deal anywhere super easy put_together install unpackaged installed within 15 minute tool necessary sturdy look good took time figure easily open swing door get really easy definitely one_best purchase ever_made amazon,0,0,0,baby
baby born full head hair reason even_though bathed every_day hair would look greasy middle day product eliminated really left hair body residue free clean great subtle smell love pump 's really good quality pump really make product easier use also using 2 yr. old even 5 yr. old,0,0,0,baby
product simple ..._.. everything claim grandson much comfortable mean everybody else house 's nice find product exactly 's supposed,0,0,0,baby
mom bought thinking would help back discomfort well rolled eye idea found relief able lower back discomfort discreet constantly walking around holding back belly belly sling call great would definitly recomend product,0,0,0,baby
gate u lifesaver pet adventurus toddler gate sturdy durable convienent designed fit area isnt straight living_room curve fit great wonderful item thank,0,0,0,baby
expensive essentially hydrogen peroxide baking soda would cost average person 3 dollar,1,0,0,beauty
love love shampoo lather nice clean hair without leaving stripped dry also use shampure conditioner scent shampoo heavenly used shampoo year keep buying tried must_buy sample size try disappointed,0,0,0,beauty
falling love philosophy favorite subtle yet make_feel attractive sexy 're_looking something give boost make_feel good,0,0,0,beauty
long straight one length hair kind hair people wish gave birth love life hair went s**t went frizzy 8_year tried expensive cheap anything thought said would help frizzy hair heard phyto yepee phytobrush defrisant hair back 's frizzy anymore anything like budget really ca_n't afford save use little help peace mind give sanity back bad hair day worth_price far 'll_never go_back please try love hair,0,0,0,beauty
straight hair super-long thick past waist problem combing keeping smooth biosilk best stuff found detangle washing keep hair soft dry tried everything_else mean everything nothing compare 'm hooked bought gallon believe cheap even smell great 's greasy fantastic giving receiving massage,0,0,0,beauty
best long-wearing lipstick ever bought last 6-7 hour ... meal drink etc best part n't flakey also little hint `` glitter '' really make lip shine icing cake subtle watermelon smell,0,0,0,beauty
saying_`` n't last ca_n't smell half-way day '' 're supposed able smell cologne 've put much likely offend people overbearing scent smell great last long cologne 've_tried,0,0,0,beauty
scent clean over-powering love product last 's really need reapply,0,0,0,beauty
used soap blown_away scent girlfriend absolutely_love favorite buy definitely getting,0,0,0,beauty
tweezerman browmousse clear gel brush onto eyebrow hold place tried brand styling gel brow left disappointed flaked looked stiff gross.since huge_fan tweezerman tweezer figured would give browmousse try boy ever satisfied gel held brow place day without single stray flaking stiff brow easy apply come mascara style brush simply whisk brow style keep want stay day come easily make remover browmousse definite step brand 've_tried recommend product friend,0,0,0,beauty
hand new favorite body indulgence product smell delightful like yummy chocolate vitamin condition skin convenient roll-on form easy travel leaf skin right amount golden glow tacky top noticeable either perfect also arrived time best n't leave skin sticky,0,0,0,beauty
bought day owned regular sized kabuki brush find like baby buki better still give great coverage compact size love,0,0,0,beauty
read many positive review pure grace decided try since love fresh clean scent disapointed used reminded jean nate old lady smell musky clean smelling could_n't smell hint feminine sweetness floweriness smelled like scented musky water sesemee oil ... way describe,1,0,0,beauty
would never go_back using regular towel hair trying little miracle towel wrap around soaking wet hair absorbs amazingly cut drying time make unneccesary rub rub damaging hair also hold many us 's really revolutionary,0,0,0,beauty
better shampoo 've_tried adding volume kerastase resistance also strengthens baby-fine hair amazing volume wo_n't dry hair without_doubt best volumizing shampoo ever tried,0,0,0,beauty
emotionally healing benefit orange oil lavender become immediately apparent apply scalp find someone give head massage product truly relax applying work well home hair treatment nourish hair follicle promote healthy hair growth also notice hair becoming stronger retaining much deeper shine essential oil product help activate micro-circulation may cause slight tingling warming scalp leave 5-10 minute wash hair normal may find need le conditioner using product many hairdresser use product giving conditioning head massage first found product bought first bottle day massage impressed keep buying product ~the rebecca review,0,0,0,beauty
